"4,343,494","6,681,496"
"(538,655)
(338,807)
(1,510,623)","(505,135)
(362,299)
(669,463)"
"(2,388,085)","(1,536,897)"
"1,955,409
(86,982)","5,144,599
(277,678)"
"1,868,427","4,866,921"
"(954,920)
7,836,094
(556,845)
(423,634)
(88,342)
(306,056)","(2,378,244)
1,614,013
2,414,546
3,297,133
70,547
(882,308)"
"5,506,297","4,135,687"
"7,374, 724","9,002,608"
