"2020
Ksh’000
3,694,506","2019
Ksh’000
3,167,358"
"(894,691)
(1,814,660)","(630,932)
(1,709,677)"
"985,155","826,749"
"(3,580,252)",-
"(2,595,097)
(796,591)","826,749
(83,883)"
"(3,391,688)","742,866"
"-
(2,161,160)
-
292,750
(29,992)
927,747","(1,262,453)
4,135,364
1,834,168
(422,579)
(45,556)
(269,192)"
"(970,655)","3,969,752"
"(4,362,343)","4,712,618"
