Financial sector – insurance and Financial services,Column,Column
,"uAP Holdings
stake: 13.7%
sector: insurance &
Financial services","− UAP is a composite insurance company with operations in Uganda and Southern
sudan.
− UAP has also expanded into Rwanda and DRC.
− UAP raised US$ 50.0Mn additional growth capital in 2012 to spur further growth.
− It was ISO 9001:2000 certified; has achieved a high credit rating, Global Credit
Rating (AA); and has won FiRe Awards for eight consecutive years."
,"Aon insurance Brokers
(Kenya)
stake: 21.5%
sector: insurance
Brokerage & Consulting
services","− Aon Kenya Insurance Brokers Ltd (AON) offers insurance broking, risk
management, actuarial consulting, medical scheme administration and medical
fund management, life and pension’s administration, and employee benefits
consulting services to medium and large organizations in Kenya.
− AON has a large portfolio of corporate clients to whom it provides brokerage
services for coverage of some of the most complex risks. Aon is a service driven
organization which aspires to meet the highest standards of its clients."
,"Platinum Credit
stake: 35.6%
sector: non Deposit
taking Micro Finance","− Platinum Credit is one of the leading non deposits taking Micro Finance Companies
with operations in Kenya, uganda and tanzania.
− Platinum credit has more than 50 branches in the region.
− Platinum prides in fast disbursement of loans within 24 hours."
Beverage sector - Carbonated soft Drinks,,
,"Almasi Beverages ltd
stake: 42.8%
nairobi Bottlers
stake: 27%","− Centum has invested in Almasi, a consolidation of three bottlers in Kenya: Rift
Valley Bottlers, Mount Kenya Bottlers and Kisii Bottlers.
− Rift Valley Bottlers Limited is a Coca Cola bottling company whose franchise
territory spans across Rift Valley and Western provinces in Kenya.
− It is the third largest Coca Cola franchise in the country in volume terms.
− Mount Kenya Bottlers Limited is a Coca Cola bottling company whose franchise
territory spans across Central & north eastern provinces in Kenya
− Kisii Bottlers Limited is a Coca Cola bottling company whose franchise territory
spans across parts of south Rift Valley and nyanza province."
,,"− Nairobi Bottlers Limited is the largest of the Coca Cola franchises in Kenya.
− Its territory spans across the whole of Nairobi, parts of Central Eastern and Rift
Valley provinces."
