"1,178,904
-
-
598,658
-
1,086,401
9,006,348","101,716
-
-
19,660
-
68,960
-","1,105,384
-
-
243,074
270,899
684,622
-","3,298,134
4,928,006
-
300,000
55,200
-
-","4,718,102
-
31,800
-
-
-
-","659,212
-
334,300
1,573,028
-
-
-","11,061,4
4,928,0
366,1
2,734,4
326,0
1,839,9
9,006,3"
"11,870,311","190,336","2,303,979","8,581,340","4,749,902","2,566,540","30,262,4"
"6,281,321
-
2,031,010
574,789
78,027","3,506,554
-
-
3,330,148
-","1,675,027
-
668,551
335,533
-","929,688
4,928,006
378,111
5,742,130
-","7,127
-
-
-
-","901
-
-
-
-","12,400,6
4,928,0
3,077,6
9,982,6
78,0"
"8,965,147","6,836,702","2,679,111","11,977,935","7,127",901,"30,466,9"
"2,905,164","(6,646,366)","(375,132)","(3,396,595)","4,742,775","2,565,639","(204,51"
