Nguzo,SDG ya Umoja wa Mataifa,Kwa nini ni muhimu kwetu
"Elimu
1.",,"Huhakikisha kuna ujumuishaji na elimu bora ya usawa
na kuendeleza fursa za mafunzo za maishani kwa wote"
"Usawa wa kijinsia
2.",,"Tunatambua kwamba hali anuai ya jinsia ina athari
chanya kwa utendaji wa timu na biashara zetu kwa jumla"
"Miundomsingi
3.",,"Kukua kwa kazi kwa miji nchini Kenya kama ilivyo katika
miji mingi ya Afrika, kuna athari kubwa kwa matumizi ya
maji na usimamizi wa maji taka.
Vyanzo vya kawi safi, ya bei nafuu na ya kutegemewa
huimarisha ubora wa maisha na kuwezesha ukuaji wa
biashara"
"Nyumba
4.",,"Tunatambua hitaji la kuunda nyumba salama na za bei
nafuu kwa lengo la kuimarisha umoja na ukuaji endelevu
wa miji."
"Ujasiriamali
5.",,"Ukuaji endelevu wa kiuchumi unaendeshwa na kazi
jumuishi, kamili na yenye tija na kazi ya maana kwa wote"
