"2007
KSh. ‘000
1,185,778",Column,"2007
KSh. ‘000
798,267"
"355,733
(107,834)
(224,532)
32,223
15,128","208,947
(67,040)
(77,833)
37,673
(11,856)","239,480
(107,834)
(168,566)
30,696
-"
"70,718","89,891","(6,224)"
"422
(6,259)","1,492
(1,340)","-
(6,260)"
"(5,837)
7,596
(5,330)","152
7,385
(13,374)","(6,260)
3,592
(1,560)"
"(3,571)","(5,837)","(4,228)"
"657
(4,228)","422
(6,259)","-
(4,228)"
"(3,571)","(5,837)","(4,228)"
