"2025
Ksh’000
62,119
6,644
52,645","2024
Ksh’000
69,195
348
64,344"
"121,408","133,887"
"30,586,154
1,028,619
10,355,867
7,138,174
1,179,687","30,786,107
-
11,229,808
4,401,846
1,013,887"
"50,288,501","47,431,648"
"118,586
77,237
52,757","160,362
36,798
319,939"
"248,580","517,099"
"50,658,489","48,082,634"
"332,721
(99,209)
589,753
23,023,429
20,480,393
210,000","332,721
(67,209)
589,753
19,158,925
20,817,805
210,000"
"44,537,087","41,041,995"
"690,059
3,860,934
58,128
1,041,946
470,335","1,950,589
3,326,587
64,818
1,255,082
443,563"
"6,121,402","7,040,639"
"50,658,489","48,082,634"
