Kes M,Sept ‘20,Sept ‘19
Opening cash and cash equivalents,"2,912",252
Net cash from operations,"3,908","19,776"
Net cash used in investing activities,(934),(663)
"Cash generated from/ (used in)
financing activities","(4,143)","(7,420)"
Closing cash and cash equivalents,"1,743","11,945"
