Key Metrics,Sep 2019,March 2020,Movement,Sep 2020,Column,Movement,Column
No. of Units U/C,"1,316","1,442",126,,"1,482",,40
No. Sold,797,999,202,,"1,086",,87
% achieved,61%,69%,9%,,73%,,4%
"Revenue potential of sold
units","5,867","7,574","1,707",,"9,235",,"1,661"
Deposits collected*,"1,249","1,973",724,,"2,623",,650
% achieved,21%,26%,,,28%,,
Profit potential of units U/C,"3,610","3,674",65,,"4,183",,508
Balance of Sales to collect,"4,618","5,600",982,,"6,612",,"1,012"
Cost to complete,"6,419","5,217","(1,202)",,"5,400",,184
Cost coverage,0.7x,1.1x,,,1.2x,,
