Type,Nature,Description,Recognition
"Sale of
goods",Educational materials,"Sale of educational material is
through Longhorn Publishers
Plc.","Revenues from the various sources are
recognised in the period in which the company
has delivered products to the customer, the
customer has full discretion over the channel
and price to sell the products, and there is
no unfulfilled obligation that could affect
the customers’ acceptance of the products.
Delivery does not occur until the products have
been accepted by the customer. Revenue is
recognised at a point in time."
,Agricultural products,"The Group exports exotic
herbs through Greenblade
Growers Limited.",
Financial services,"1. Interest income
2. Fund management
income
3. Fees, commissions and
trading income
4. Leasing income","1. Interest income relates to
income earned by Jafari
Credit Limited and fixed
income investments by
the asset management
subsidiaries.
2. Fund management income
relates to management
fees earned by the asset
management companies.
3. Fees, commissions and
trading income is the non
funded income earned by
Jafari Credit Limited
4. Leasing income relates to
rental and finance lease
income earned on operating
and finance leases provided
by Zohari Credit Limited.","- Interest income is accrued using the effective
interest rate method, by reference to the
principal outstanding and the interest rate
applicable.Interest income is recognised over
time.
- Fund management income is recognised in
the period in which the services are rendered,
by reference to completion of the specific
transaction assessed on the basis of the
actual service provided as a percentage of the
total services to be provided.
- Fees and commissions are recognised on
an accrual basis when the service has been
provided. Loan commitment fees for advances
are credited to income upon first utilisation of
the facility and are charged on an annual basis.
- Operating lease income is accrued by
reference to time on a straight-line basis over
the lease term. Interest income is accrued
on a time basis, by reference to the principal
outstanding and the interest rate applicable.
Processing fee is recognized on inception of
the lease at a point in time."
