Issuer,Centum Real Estate Limited (subsidiary of Centum Investment Plc)
Purpose,Bridge funding for the construction of residential development projects
Tenor,3 years
Amount,"KES 4,000,000,0000 (with a KES 2bn green shoe option)"
Description,Secured Zero Coupon Notes
Currency,KES
Interest rate/coupon,Zero coupon
Discount rate,3 year Treasury bond plus the margin
Security,"• Floating charge over the receivables and any unsold units within funded projects.
• Fixed charge over a sinking fund managed by the trustee."
Embedded options,"• Conversion of the outstanding amount into housing units
• Equity linked component with variable return based on project IRR."
Credit Rating,"Short term and long term issuer ratings of A2 and BBB+ by Global Credit Ratings
(KE) (KE)
(GCR)."
Status,"The Bond is currently underway
This a is restricted offer for eligible investors only. To subscribe, visit
https://bond.candrgroup.co.ke/"
17,
