Risk,Brief Description,Further Information,Risk Mitigation
"Liquidity/
Funding risk","• Risk that the company will miss
out on attractive investment
opportunities due to lack of
funding; and
• Risk that the company will
experience difficulties in
meeting its maturing financial
commitments.","Financial risk
disclosures","Managed through innovative capital raising
strategies at corporate level, supported by
targeted financing at project and business
line level such as:
• Active cash flow management;
• Available credit facilities;
• Available for sale investments that ca
be quickly converted to cash; and
• Asset matching for known/expected
liabilities."
Operational risk,"Risks that arise from failed internal
controls, functional errors or
malfunctions arising from people,
processes, systems and external
events.
These include:
• Failure to meet ethical and
governance principles;
• Information technology
failures;
• Fraud and security breaches;
• Loss of key employees; and
• Natural disasters.","Corporate governance
statement
Financial risk
disclosures","• Independent and specialized internal
audit function;
• Robust risk management;
• Approved operational procedures.
• Framework of Core values;
• A code of conduct;
• Existence of a regularly tested
Business Continuity Plan & Disasster
Recovery plan;
• Management of this risk is embedded
in all business processes and
decisions and is part of performance
targets for all staff; and
• Management and the board continue
to develop a pool and to seek
innovative ways to find and retain
skilled staff. A good example is the
graduate recruitment program that
has been launched."
"Legal /
Regulatory risk","This is the risk that our business
may be adversely affected by:
• New laws / regulations
affecting our core business;
• Ongoing litigation against us,
our subsidiaries or associates","CEO’s statement
Financial statements
Financial risk
disclosures","• As part of portfolio management, we
seek the opinions of the legal experts
at our disposal to ensure that we are
aware of all the foreseeable legal
implications; and
• We also continuously scan
our operating environment to
identify changes in the regulatory
environment."
Reputational risk,"The risk of a negative impact that
can result from the deterioration
of Centum reputation among
stakeholders and general public
resulting to:
• Revenue loss;
• Reduced client loyalty;
• Litigation, regulatory sanction
or additional oversight; and
• Declines in Centum’s share
price.","Corporate governance
statement
Financial risk
disclosures","The board and the management constantly
monitor and address issues that can
adversely impact Centum’s reputation as
well as other facets of the business that
have an impact on reputation."
