Sector,Portfolio Companies,"NAV Per
Share","NAV Per
Share (%)",Total Assets,"Total
Liabilities"
,,(KES),,(KES Mn),(KES Mn)
FMCG,Almasi Beverages Limited,10.96,15.0%,"10,891","1,457"
,Nairobi Bottlers,7.26,9.9%,NA,NA
,King Beverage Limited,0.01,0.0%,267,14
Financial Services,Sidian Bank,4.68,6.4%,"21,834",445
,GenAfrica,3.40,4.65,578,0
,Nabo Capital,0.58,0.8%,559,0
Others,Isuzu EA,3.54,4.8%,NA,NA
,Longhorn,1.15,1.6%,"1,924",574
,NAS Servair,1.24,1.7%,NA,NA
