Kes. M,FY2009,FY 2010,FY 2011,FY2012,FY 2013,FY 2014,FY2015,Column,HY2016
Scale & Return,,,,,,,,,
Total Assets,"5,930","9,840","15,004","15,721","21,407","28,811","41,328",,"46,194"
Market Capitalization,"5,637","8,579","13,009","9,800","13,242","24,289","42,300",,"34,600"
NAV (Kes. M),"5,859",9.157,"12,552","13,685","16,137","22,936","31,939",,"34,669"
Total Return (Kes. m),"(2,980)","3,297","3,395","1,133","2,451","6,800","9,003",,"2,730"
Total return (%),(37)%,56%,37%,9%,18%,42%,39%,,9%
NAV per Share (KES),8.9,13.8,18.9,20.6,24.3,34.5,48.0,,52.1
Cost Efficiency,1.9%,2.1%,2.0%,1.6%,2.3%,1.5%,2.1%,,0.5%
Net Debt,-,-,"1,988",678,"2,647","4,649","3,896",,"7,118"
Debt-to-equity,-,-,16%,7%,20%,23%,,12%,21%
