"2022
Ksh’000
1,661,922","2021
Ksh’000
1,516,870"
"(569,992)
(540,466)","(669,082)
(602,867)"
"551,464","244,921"
"(490,143)","(1,071,393)"
"61,321","(826,472)"
"(81,960)","219,871"
"(20,639)","(606,601)"
"(1,422,410)
1,204,080
(3,784)
(5,242)","(3,978,028)
(541,255)
80,108
227,056"
"(227,356)","(4,212,119)"
"(247,995)","(4,818,720)"
