Nam,e,28th Apr 08,25th Jun 08,4th Sep 08,3rd Oct 08,15th Oct 08,5th Nov 08,26th Nov 08,14th Jan 09
J. N. Muguiyi (Chairman),,√,√,√,√,√,√,A,√
J. M. Mworia1 (Managing),,NA,NA,NA,NA,NA,A,A,√
I. B. Mogaka,,√,√,√,√,√,√,√ A,
C. J. Kirubi,,√,√,√,√,√,√,√ A,
H. C. Njoroge,,√,√,√,√,√,√,√,√
P. M. Muriuki,,√,√,√,√,√,√,√,√
I. O. Awuondo,,√,A,√,NA,NA,NA,NA,NA
K. Kariithi2,,NA,NA,NA,√,√,√,A,√
I.Khan3,,NA,NA,NA,NA,NA,NA,√,√
R. Bunyi4,,NA,NA,NA,NA,NA,NA,NA,NA
M. M. Byama5,,NA,NA,NA,NA,NA,NA,NA,√
P. K. Mwangi6,,√,√,√,√,√,NA,NA,NA
L. N. Ngaithe7,,√,A,√,√,√,√,√,NA
