"2011
Kshs’000",Column,"2011
Kshs’000"
"1,908","1,311","1,908"
"5,871",597,"3,312"
(938),-,(938)
"6,841","1,908","4,282"
"1,307",865,"1,307"
"1,068",442,861
(938),-,(938)
"1,437","1,307","1,230"
