Group,Column,Column
2019,2018,
Kshs’000,Kshs’000,
"9,797,800","9,384,701",
"937,885",-,
"(1,702,835)","457,920",
"(2,082)","(44,821)",
"(1,965,538)",-,
,,"2,097,54"
"7,065,230","9,797,800",
