"2022
Ksh’000
82,191
21,803","2021
Ksh’000
97,687
18,903"
"103,994","116,590"
"22,242,876
11,546,394
4,946,898
3,949,862
7,561","26,258,390
11,803,965
3,585,229
4,235,342
156,411"
"42,693,591","46,039,337"
"267,468
100,074
1,019,103","431,188
61,405
866,720"
"1,386,645
2,776,163","1,359,313
-"
"46,960,393","47,515,240"
"332,721
589,753
19,079,651
20,932,675
390,983","332,721
589,753
19,321,343
21,358,633
219,596"
"41,325,783","41,822,046"
"4,159,036
340,140
273,339
25,981
836,114","4,121,584
493,009
310,303
19,386
748,912"
"5,634,610","5,693,194"
"46,960,393","47,515,240"
