Strategic Objective,Progress
"1. Scale up assets
under Management","• Target to grow assets under management to Kshs 30
Billion by 2014
• As at September 2010 ahead of March 2011 target."
"2. Deliver Market
beating returns",• On track to beat the market in 2011
"3. Geographical
diversification","• Increased investment activity outside Kenya
• In the process of cross listing in Uganda"
4. Manage costs,"• Maintained the total costs to asset ratio at below
2.5%"
