Kshs. „m,Company,Column,Column,Group,Column,Column
,Sept ’10,Sept’09,Var %,Sept ’10,Sept’09,Var %
Income,956,183,422%,705,64,909%
Expenses,(196),(103),-90%,(140),(103),359%
Share of Associate earnings,-,-,-,361,154,1344%
Profit Before Tax,760,80,850%,926,114,712%
Tax,8,(1),700%,(81),(40),102
Profit After Tax,768,79,872%,845,73,1057%
Other Compr. Income,618,241,156%,123,229,(46%)
Total Compr. Income,"1,386",320,333%,968,303,219%
EPS,,,,1.40,0.13,127%
