Agenda,Vote,Total Votes,"As a percentage of
total votes cast"
"Directors’ remuneration
report",For,"389,666,576",96%
,Against,"10,419,206",3%
,Withheld,"6,120,897",1%
Total votes casted,,"406,206,679",100%
