"953,706","(251,761)"
"(660,082)","(343,576)"
"(50,825)","(25,726)"
"242,799","(621,063)"
"(2,111,258)","(128,671)"
"(26,915)","(22,594)"
"(18,294)","(4,812)"
"(1,079,453)",-
"128,436",
"204,780","217,072"
"(20,240)","(1,784,911)"
"(337,123)","(837,929)"
"(631,068)","(1,112,066)"
"(934,052)","(947,663)"
"39,666","1,367,306"
"1,913,339","974,577"
"725,765","529,397"
-,"415,000"
"(2,146,417)","(1,335,295)"
-,"4,149,532"
"(3,517)","(1,933)"
"(41,739)",-
-,"(1,000,000)"
"(45,256)","3,147,599"
"(1,948,874)","1,191,242"
"1,501,769","322,410"
"(1,948,874)","1,191,242"
(348),"(11,883)"
"(447,453)","1,501,769"
