Column,Ksh 420 million,Ksh 2.92 billion,Ksh 1.74 billion
,Ksh 30 million,Ksh 30 million,Ksh 1.51 billion
,___,Ksh 216 million,Ksh 4.39 billion
Total,Ksh 450 million,Ksh 3.17 billion,Ksh 7.6 billion
