"2025
Ksh’000
238,738
422,788","2024
Ksh’000
721,191
441,736"
"661,526","1,162,927"
"207,892
479,789","-
(10,904)"
"1,349,207","1,152,023"
"(628,784)
(199,816)","(579,711)
(294,688)"
"520,607","277,624"
"(3,360)",-
"517,247","277,624"
"29,891","278,345"
"547,138","555,969"
"1,000,783
2,753,409
674,550
(564,238)","6,164,025
(342,389)
-
(873,240)"
"3,864,504","4,948,396"
"4,411,642","5,504,365"
