"2010
Sh’000",Column,"2010
Sh’000"
"143,289","250,803","455,547"
"2,259",120,"1,134"
"6,022","3,224","6,022"
"854,626","131,566","626,700"
"25,485",-,"25,485"
"6,576","5,873","6,576"
"1,038,257","391,586","1,121,464"
"1,003,937","382,369","1,088,269"
-,"3,224",-
"1,003,937","385,593","1,088,269"
"34,320","5,993","33,195"
"1,038,257","391,586","1,121,464"
-,-,"150,077"
"39,819",-,"201,999"
"57,631","133,526","57,632"
"45,839","117,277","45,839"
"143,289","250,803","455,547"
-,"271,171",-
-,68,-
-,"271,239",-
