"Marketable
Private Equity Real Estate Securities Total
Ksh’000 Ksh’000 Ksh’000 Ksh’000
131,325 - 16,309 147,634
3,828,311 - 715,085 4,543,396
81,654 - - 81,654
77,531 - - 77,531
- 1,969,106 - 1,969,106
2,303,649 242,983 - 2,546,632
(1,468,654) (1,730,699) - (3,199,353)
222,099 873,177 - 1,095,276
91,314 - (168,207) (76,893)
1,477,914 - - 1,477,914
(150,163) (956,006) - (1,106,169)
1,189,844 862,391 (103,359) 1,948,876"
"7,784,824 1,260,952 459,828 9,505,604"
"(2,887,290) (1,890,891) - (4,778,181)
(691,497) (52,758) - (744,255)
(3,519,840) (562,673) (60,679) (4,143,192)"
"686,197 (1,245,370) 399,149 (160,024)"
"(297,997) 600,073 - 302,076"
"388,200 (645,297) 399,149 142,052"
"72% 4% 18% 22%
4% -2% 16% 0%
47,350,938 59,437,248 2,644,019 109,432,205
(10,047,409) (15,453,688) - (25,501,097)
(25,458,491) (11,339,297) (84,616) (36,882,404)
(981,479) (2,948,771) - (3,930,250)"
"10,863,559 29,695,492 2,559,403 43,118,454"
"56,704,062 60,068,517 2,060,763 118,833,342
(5,162,667) (15,463,753) - (20,626,420)
(39,759,572) (10,844,412) (233,098) (50,537,082)
(1,119,466) (2,953,481) - (4,072,947)"
"10,662,357 30,806,871 1,827,665 43,296,893"
