"KES
Million",2016,2015,2014,2013,2012,2011,2010
"Portfolio
income","1,266",736,"1,441",580,199,231,175
"Unreal-
ized gains",167,357,748,883,(121),175,996
"Gross
return","1,433","1,093","2,189","1,463",77,406,"1,172"
"Total
return",940,889,"1,782","1,230",(53),320,"1,101"
"Gross
return (%)",31%,20%,42%,59%,2%,11%,52%
"Total
return (%)",21%,17%,34%,50%,-1%,9%,49%
"Closing
portfolio","6,466","4,550","5,359","5,251","2,474","3,944","3,543"
