Column,31 March 2024,31 March 2023
Item,Ksh’000,Ksh’000
Executive Director’s Fees,-,-
Executive Director’s Emoluments,"64,520","48,852"
*Non-Executive Directors’ Fees,"23,472","24,456"
Non-Executive Director’s Emoluments,-,-
