"2010
Shs’000"
"1,121,464"
"(122,154 )"
"(76,897 )"
-
"(46,940 )"
"(245,991 )"
"875,473"
"12,967"
"888,440"
"(538,965 )"
"565,992"
"1,867,270"
"18,961"
"495,976"
"2,409,234"
"3,297,674"
