Kshs Million,FY 2015/2014,FY 2014/2013
Total assets,"41,328","28,811"
Borrowings,"(7,569)","(5,492)"
Other liabilities,"(1,820)",(383)
Capital and reserves,"31,939","22,936"
NAV per share (Kshs),48.00,34.47
