"Evans Mugi, Analyst",Column
Experience:,"•One year experience in investment
•Joined Centum in June 2012"
Markets:,"•West and NorthernAfrican Markets
•Equities"
Qualifications:,"•BA- UoN,ACI Dealing Certificate, CFA Level II Candidate 2012, CPA Section 3"
