"Marketable
Private Equity Real Estate Securities Total
Ksh’000 Ksh’000 Ksh’000 Ksh’000
135,784 - 16,493 152,277
3,367,777 - 121,316 3,489,093
100,217 - - 100,217
137,147 - - 137,147
- 459,744 - 459,744
995,792 323,674 - 1,319,466
(712,292) (596,889) - (1,309,181)
24,783 - - 24,783
- - (61,140) (61,140)
1,157,290 - - 1,157,290
17,181 85 - 17,266
- (1,074,310) - (1,074,310)
(143,358) 2,360,374 62,052 2,279,068"
"5,080,321 1,472,678 138,721 6,691,720"
"(2,554,812) (1,806,512) - (4,361,324)
(488,707) - - (488,707)
(3,794,888) (431,824) (33,743) (4,260,455)"
"(1,758,086) (765,658) 104,978 (2,418,766)"
"204,253 760,042 - 964,295"
"(1,553,833) (5,616) 104,978 (1,454,471)"
"55% 7% 7% 18%
-15% 0% 5% -3%
43,228,356 56,356,682 2,278,565 101,863,603
(12,684,754) (9,512,011) - (22,196,765)
(18,939,881) (11,150,444) (303,431) (30,393,756)
(1,116,104) (4,161,925) - (5,278,029)"
"10,487,617 31,532,302 1,975,134 43,995,053"
"47,350,938 59,437,248 2,644,019 109,432,205
(10,047,409) (15,453,688) - (25,501,097)
(25,458,491) (11,339,297) (84,616) (36,882,404)
(981,479) (2,948,771) - (3,930,250)"
"10,863,559 29,695,492 2,559,403 43,118,454"
