2024,2023
Ksh’000,Ksh’000
"1,337,696","856,901"
-,"6,037,388"
"(23,539)","1,137,522"
"481,557","2,474,229"
"(158,016)","(1,390,220)"
"(90,731)",-
-,"(7,778,124)"
"1,546,967","1,337,696"
