Gearing,Column,Column,Column,Column,Column
Debt (Ksh Mn)*,"7,486","16,145","14,843","14,656","10,475"
Net Debt,"4,574","15,892","13,765","12,209","6,626"
Net Debt to Equity,10%,30%,28%,27%,17%
Net Debt to Total Assets,8%,22%,21%,20%,13%
