"2024
Ksh’000
69,195
348
64,344","2023
Ksh’000
78,931
405
-"
"133,887","79,336"
"30,786,107
11,229,808
4,401,846
1,013,887","17,752,529
10,344,329
4,687,380
4,104,368"
"47,431,648","36,888,606"
"36,798
160,362
319,939","77,341
105,808
348,250"
"517,099","531,399"
-,"4,238,141"
"48,082,634","41,737,482"
"332,721
(67,209)
589,753
19,158,925
20,817,805
210,000","332,721
(36,709)
589,753
14,210,529
20,471,836
400,000"
"41,041,995","35,968,130"
"1,950,589
3,326,587
64,818
1,255,082
443,563","2,248,171
2,732,082
-
539,941
249,158"
"7,040,639","5,769,352"
"48,082,634","41,737,482"
