Debt (KES Mn),"4,122","7,486","16,145","14,843","14,656"
Net Debt (KES Mn)*,-,"4,574","15,892","13,765","12,209"
Net Debt to Equity (%),-,10%,30%,28%,27%
Net Debt to Total Assets (%),-,8%,22%,21%,20%
