Debt (Ksh Mn)*,"4,159","4,122","7,486","16,145","14,843"
Net Debt (Ksh Mn)**,-,-,"4,574","15,892","13,765"
Net Debt to Equity (%),-,-,10%,30%,28%
Net Debt to Total Assets (%),-,-,8%,22%,21%
