KES M,Company,Adjustment,Group
Investment Income,"1,121",,"1,121"
Dividend income from Associates,,(150),(150)
Share of Associate profits,,290,290
Costs,(246),,(246)
Profit After Tax,888,,"1,027"
Other comprehensive income,"2,409",,"2,409"
Associate fair value movement,,"(1,867)","(1,867)"
Share of associate equity movement,,(30),(30)
Total Comprehensive Income,"3,297","1,757","1,540"
