"2,241,451
(406,762)","651,652
(27,278)"
"1,834,689","624,374"
"(371)
(3,244,051)
(396,085)
-
(373,288)
-
135,206
-
1,027,651","(1,956)
(2,605,755)
(269,564)
(146,953)
(1,629,559)
(51,533)
309,933
5,805,075
-"
"(2,850,938)","1,409,688"
"2,820,351
(1,490,285)
(70,494)","2,715,553
(1,251,153)
(517)"
"1,259,572","1,463,883"
"243,323","3,497,945"
"3,672,877
243,323","174,932
3,497,945"
"3,916,200","3,672,877"
