Kes. m,HY 20131A,HY 2012H1A
Operating inflows,"1,362","3,825"
Operating outflows,(242),(200)
Internally generated funds,"1,120","3,625"
Cash flows from Investing activities,"(1,178)","(2,969)"
Cash flows from financing activities,"3,148",(1)
"Net increase in cash and cash
equivalents","3,090",655
At start of period,322,(981)
Exchange (losses)/gains,(4),218
At end of period,"3,408",(108)
