KEY RISK TYPE,Risk Description,"Link to Strategic
Objective","Risk Management
and Mitigation"
Operational Risk,"A failure of key processes,
systems and/or people
comes at additional
operating costs to Centum
reducing overall operational
efficiency and effectiveness.",Return,"This risk is managed through;
• Embracing and fostering a culture
of diversity and inclusivity which
encourages staff to be innovative
and be supportive of each other.
• Establishment of clear policies and
processes
• Monitoring compliance with the
policies and processes
• Clear goal setting and performance
management
• A people driven approach to
managing the enabling technology
and ensuring that system support is
available all the time. This includes
technology allowing staff to work
remotely as may be needed from
time to time."
"Investment Risk/
Asset Risk","This is the risk of incurring financial
losses in Centum’s portfolio in pursuit
of returns.
This risk would arise from;
• Under-performance by investee
companies
• Investment concentration risk
• Adverse political, social or
economic change
• Illiquidity – inability to sell
investment assets without incurring
a substantial loss in value because
of a lack of willing investors.",Return,"The portfolio focus approach includes
business review meetings. The key
agenda in each of these meetings is
to assess the management of all the
key risks that the asset is exposed to.
The Company also seeks to as much as
possible diversify its risks by investing in a
diverse range of industries.
While our approach is to hold and grow
our assets until we are in a position to
realise the investment through an exit, we
also maintain an active pool of possible
and willing investors that we try to
engage with at the time of exit."
"Liquidity and Capital
Adequacy Risk","The risk that we do not have
sufficient financial resources
to meet our obligations when
they fall due or can only
meet these obligations at a
high financial cost.",Brand,"The Company runs liquidity stress tests
and scenario analyses on a regular basis
to ensure that robust and optimal funding
and use plans exist for best, plausible and
worst-case liquidity situations.
Shifting Marketable Securities Portfolio
from equities to Fixed Income
instruments with good credit rating."
"Financial Risk (Off
Balance Sheet Risks)","This is the risk that guarantees that we
have issued to the benefit of some our
investee companies will be called up.",Brand,"This risk is managed by close
management of the investee companies
in order to ensure that they continue
generating adequate funds to meet their
obligations."
"Regulatory And
Compliance Risk","This is the risk that our business may be
adversely affected by:
• New laws / regulations affecting
our core business.
• Ongoing litigation against us, our
subsidiaries or associates.",Brand,"Compliance checks for all entities
conducted quarterly
Proactive engagement with regulators on
any changes in the business."
