Number,Effective Date,Executive Summary
"Amendments to IAS
12, Income Taxes:
Deferred Tax related to
Assets and Liabilities
arising from a Single
Transaction","Annual periods beginning
on or after 1 January
2023. Earlier application
is permitted.
(Published May 2021)","The amendments require companies to recognise deferred
tax on transactions that, on initial recognition give rise
to equal amounts of taxable and deductible temporary
differences."
"Narrow scope
amendments to IAS
1 ‘Presentation of
Financial Statements’,
Practice statement 2
and IAS 8 ‘Accounting
Policies, Changes in
Accounting Estimates
and Errors’","Annual periods beginning
on or after 1 January
2023. Earlier application
is permitted.
(Published February
2021)","The amendments aim to improve accounting policy
disclosures and to help users of the financial statements to
distinguish changes in accounting policies from changes in
accounting estimates."
"Amendment to
IFRS 3, ‘Business
combinations’
Asset or liability in a
business combination
clarity","Annual periods beginning
on or after 1 January
2022
(Published May 2020)","The Board has updated IFRS 3, ‘Business combinations’,
to refer to the 2018 Conceptual Framework for Financial
Reporting, in order to determine what constitutes an asset
or a liability in a business combination.
In addition, the Board added a new exception in IFRS 3 for
liabilities and contingent liabilities. The exception specifies
that, for some types of liabilities and contingent liabilities,
an entity applying IFRS 3 should instead refer to IAS 37,
‘Provisions, Contingent Liabilities and Contingent Assets’,
or IFRIC 21, ‘Levies’, rather than the 2018 Conceptual
Framework.
The Board has also clarified that the acquirer should not
recognise contingent assets, as defined in IAS 37, at the
acquisition date."
