Column,PE,QPE,RE&I,Total
Investment activity (KES M),,,,
Investments,80,"1,141",-,"1,221"
Realization proceeds,265,"1,083",-,"1,348"
Return Analysis,,,,
Total Return,"2,168","1,141",(11),"3,297"
Return on Opening Equity,61.1%,50.1%,(32%),56.3%
Balance sheet,,,,
Portfolio Value,"5,491","3,833",36,"9,360"
Net Asset Value (NAV),"5,372","3,749",36,"9,157"
NAV per Share,,,,16.65
