KES.‘000,Mar ‘21,Mar ‘20
Trading business:,,
,996,
Direct and other operating costs,"(1,525)","(5,444)"
,(529),
Financial services:,-,-
,"4,338",
Funding and other costs,"(4,008)","(3,625)"
,330,
Real Estate,-,-
,"2,158",
Funding and other costs,"(1,283)",(651)
,875,
Two Rivers Development,-,-
,"1,045",
Funding and other costs,"(1,830)","(1,819)"
,"(1,074)",
,"(1,859)",
Investment operations:,-,-
,684,
Operating and administrative costs,(715),"(1,132)"
,(629),
,"(1,843)",
Impairment provision on assets,(489),"(2,752)"
,"(2,332)",
Income Tax,964,(818)
,"(1,368)",
Earnings Per Share-Basic,(0.93),10.25
,(619),
Non-controlling interest,(749),"(2,191)"
,"(1,368)",
