Jedwali 2: Utendaji dhidi ya nguzo za kimkakati za 4.0,Column
Lengo la Centum 4.0,Utendaji halisi katika mwaka wa kifedha wa 2020/2021
"Mapato na malipo ya mgawo:
Kuzalisha angalau asilimia 20% ya mapato kwa
mtaji.
1.
Kuboresha malipo ya mgawo kwa kiwango cha
juu hadi asilimiia 30% ya mapato ya fedha kwa
2. mwaka na mapato ya mgawo katika mwaka
uliopita.","Tulifikia jumla ya mapato kwa mtaji ya -6% katika mwaka wa kifedha wa
2020/2021 kama ilivyoelezewa hapa chini. Hii ilichangiwa na janga la
1. Covid-19 ambalo lilikatiza shughuli za biashara na kudhoofisha utendaji
wa uwekezaji.
Daraja la uwekezaji Machi-21 Machi-20
Mtaji wa Kibinafsi (6%) 13%
Mashamba na Nyumba (9%) (2%)
Hisa zinazoweza kuuzika: 12% 8%
Mapato ya Jumla ya Uwekezaji (6%) 5%
Tumelipa mgawo wa shilingi bilioni 1.6 katika miaka miwili iliyopita na bodi
imependekeza malipo ya ziada ya shilingi milioni 219."
"Muundo wa Mtaji na ukwasi:
Kulipa madeni yote ya muda mrefu
inavyohitajika.
1.
Ukuzaji wa Uwekezaji wa Hisa zinazoweza
kuuzika ili kuzalisha mapato endelevu ya fedha
2. kwa mwaka ambayo yatashughulikia majukumu
ya kudumu.","2.
Tulianza mwaka kwa dhamana ya umma ya shilingi bilioni 6.6 ambayo
ilikomaa mnamo Juni 2020 na tumeweza kulipa deni lote. Hivyo basi
1. tumepunguza deni letu la muda mrefu kutoka shilingi bilioni 16 mnamo
Machi 2019 hadi Shilingi bilioni 3 mnamo Machi 2021.
Tumeongeza thamani ya Uwekezaji wa Hisa zinazoweza Kuuzika kutoka
shilingi bilioni 4.1 mnamo Machi 2019 hadi shilingi bilioni 7.5 kufikia
2. Machi 2021 kuambatana na malengo yetu ya kimkakati.
Kwenda mbele, tutauza biashara zilizokomaa katika uwekezaji unaokua
na kuelekeza upya mapato tutakayopata kwa Uwekezaji wa Hisa
3. Zinazoweza Kuuzika ili kuimarisha mtiririko thabiti wa matapo ya fedha
ambayo yataweza kushughulikia gharama za utendaji, usambazaji wa
mgawo na kuwekeza upya katika uwekezaji unaokua.
Aidha, tunasaka fursa mpya za uwekezaji kwa ajili ya uwekezaji unaokua
ambao utafikia malengo yetu ya faida yaliyopimwa na Kiwango cha ndani
4. cha Mapato na malengo ya mapato Kamili yaliyopimwa na Thamani halisi
ya Sasa.
Tunajitahidi pia kusawazisha upya uwekezaji na tutalenga kupunguza
umiliki wetu katika uwekezaji wa mashamba na nyumba ili kupunguza
5. urundikaji wa hatari."
"Gharama za Utendaji
Kudumisha wastani wa gharama za utendaji
dhidi ya mapato ya fedha kwa mwaka kwa
1. kiwango cha uwiano kisichozidi asilimia 30%.","Katika kipindi kufikia Machi 2021, tulifikia asilimia 44% ya kiwango cha
uwiano wa gharama dhidi ya mapato (ikilinganishwa na asilimia 50%
1. katika mwaka wa kifedha wa 2020). Kwa kuzidisha mapato na kurekebisha
gharama, tupo katika hali nzuri ya kufikia kiwango cha uwiano wa chini ya
asilimia 30% wa gharama dhidi ya mapato."
"Lengo la Uwekezaji
Kukazia uangalifu kwa viwango vitatu vya
kibiashara tukilenga viwango vya mgao wa mali
1. ifuatavyo:
 Mashamba na Nyumba: asilimia 45%-55%
 Mtaji wa Kibinafsi: asilimia 30%-40%
 Hisa zinazoweza kuuzika: asilimia 10%-20%
 Uwekezaji wa Maendeleo asilimia 0%","Kufikia mwishoni mwa Machi 2021, mgao wa uwekezaji wetu ulikuwa
ifuatavyo:
1.  Mashamba na Nyumba: asilimia 63.5%
 Mtaji wa Kibinafsi (Uwekezaji wa Ukuaji na Maendeleo): asilimia
20.5%
 Hisa zinazoweza kuuzika: asilimia 16%
Tunalenga kwa makusudi kusawazisha upya uwekezaji kupitia kwa
uuzaji wa mali zilizokomaa na kuwekeza upya mapato hayo. Hivyo basi,
1. matarajio yetu kwa miezi ishirini na minne inayofuata kuhusu vijezi vya
uwekezaji wetu ni:
  Mashamba na Nyumba: asilimia 55%
  Mtaji wa Kibinafsi: asilimia 30%
  Hisa zinazoweza kuuzika: asilimia 15%"
