Entity,Original Impairment Context,Strategic Recovery Path
"Two Rivers
Development
Ltd.","Valuation markdown of
previously recognized gains","Assets transferred to Two Rivers Land
Co. SEZ, now 80.5% owned by Centum;
repositioned as a licensed SEZ with
significant fair value gains."
"Akiira
Geothermal
Limited","Historical markdowns due to
drilling and funding risks","Shareholding increased from 37.5% to
85%; AGL is now positioned for
strategic dilution with no loss of value"
"Centum
Business
Solutions","Provision on shareholder
loans after wind-up entity","Repositioned as Jafari Credit - now a
profitable entity; recovery of
shareholder loan expected through new
structure."
"Sidian Bank (via
Bakki Holdings)","Provisions made pre-exit amid
uncertainty","Partial exit in FY24 at a 59% premium to
book value; strong returns realized."
