Centum 4.0 Objective,Actual Performance in the 2019/ 2020 Financial Year
"Return and Dividend payout:
Generate a minimum return on equity of 20%;
1.
Optimise dividend payout to the higher of 30% of the cash
annuity income and the previous year’s dividend income.
2.","We achieved an average gross return on equity of 5.2% in
FY2019/2020 as detailed below:
1.
Private Equity 13.4%
Real Estate -1.8%
Marketable Securities 7.5%
Development 0.0%
Average weighted return 5.2%
In the FY2019/2020 we maintained dividend at the previous
year’s level of Ksh 1.20 per share in accordance with our
2. policy bringing the total dividend for the year to Ksh 799
Million."
"Capital structure and liquidity:
Repayment of all long-term debt obligations.
1.
Maintain a minimum of 12 months cash cover.
2 .","We had by March 31, 2020 repaid all the long-term debt
save for Ksh 6.6 Billion in respect to the five-year corporate
1. bond that was maturing in June 2020. We repaid the bond
in full upon maturity and therefore achieved this strategic
objective within 14 months of the commencement of the
Centum 4.0 strategy period.
This objective was achieved having closed with cash and
cash equivalents of Ksh 2.9 billion up from Ksh 253 million as
2. at March 2019 which represents 55 months cash cover."
"Operating Costs
Maintain an average operating cost to cash annuity income
ratio at a maximum of 30%.
1.","In the period to March 2020, we achieved 50% cost to
income ratio against the year’s target of 54%. The objective
1. is to improve our cost efficiency and gradually reduce this
ratio to an average of 30% over the strategy period."
"Portfolio Focus
Maintain focus on three business lines with target asset
allocations as follows:
1.
 Real estate: 45%-55%
 Private equity: 30%-40%
 Marketable securities: 10%-20%
 Development portfolio: 0%","At close of March 2020, our portfolio weighting was as
follows:
1.
 Real estate: 65%
 Private equity: 17%
 Marketable securities: 15%
 Development portfolio: 3%
We are actively pursuing a rebalancing of the portfolio
as explained below, thus our 24 months outlook on the
2. portfolio composition is:
 Real estate: 55%
 Private equity: 30%
 Marketable securities: 15%"
