Lengo la mikakati ya Centum 4.0,Matokeo hakika ya mwaka wa kifedha wa 2020/2021
,"Tulipata faida yaliyotokana na uwekezaji wa asilimia 5.2
katika mwaka wa kifedha wa 2019/2020 jinsi inavyofuata:
1.
Uwekezaji kwa kampuni za kibinafsi 13.4%
Biashara ya ardhi na uuzaji nyumba -1.8%
Hati za dhamana na pesa taslimu 7.5%
Uwekezaji kwenye kampuni chipukizi 0.0%
Faida kwa wastani 5.2%
Katika mwaka wa kifedha wa 2019/2020 tuliweza
kudumisha ulipaji wa mgawo wa faida kwa kiwango sawia
2. na ule wa mwaka uliotangulia cha shilingi (k) 1.20 na ambao
ni ulipaji wa shilingi(k) milioni 799 kwa jumla."
,"Kufikia Machi 31, 2020 tulikuwa tumelipia madeni yote ya
muhula wa muda mrefu isipokuwa shilingi (K) bilioni 6.6 ya
1. bondi ambayo muhula wake ulitimia mnamo Juni 2020.
Tuliwahi kulipia bondi hizo baada ya muhula kutimia na
hivyo kufanikisha lengo la mikakati kuhusiana na mikopo
ndani ya miezi 14 tangu kuanzishwa kwa mikakati ya
Centum 4.0.
Tulifanikisha lengo hili kwa kuwa tulifunga mwaka tukiwa
na fedha shilingi (K) bilioni 2.9 kulinganishwa na shilingi (K)
2. milioni 253 mnamo machi 2019."
,"Katika kipindi kilichokamilika Machi 2020, tuliwahi kudhibiti
gharama kwa asilimia 50% ya mapato dhidi ya asilimia
1. 54 tuliyotarajia. Madhumuni ni kupunguza kiwango cha
gharama hadi asilimia 30 kwenye kipindi cha mikakati."
,"Mwishoni mwa Machi 2020, uwekezaji katika vitengo
ulikuwa ufuatavyo:
1.
 Biashara ya ardhi na uuzaji nyumba : asilimia 65
 Uwekezaji kwenye kampuni za kibinafsi: asilimia 17
 Hati za dhamana na pesa taslimu: asilimia15
 Uwekezaji kwenye kampuni chipukizi: asilimia 3
Tunatarajia kuratibu na kusawazisha uwekezaji kwa vitengo
katika muda wa miezi 24 ijayo ambapo muundo utakuwa
2. jinsi ufuatavyo:
 Biashara ya ardhi na uuzaji nyumba: asilimia 55
 Uwekezaji kwenye kampuni za kibinafsi: asilimia 30
 Hati za dhamana na pesa taslimu: asilimia 15"
