ELN March 2016,Bond I (2012 ),Bond II (2015)
Plain Vanilla Notes (Kes Bn),3.18,2.15
ELN value (Kes Bn),1.25,3.90
Total Bond (Kes Bn),4.43,6.05
ELN Coupon,12.75%,12.50%
FRN Coupon,13.5%,13.0%
Centum NAV at debt issue (Kes Bn),13.69,26.95
NAV at 31 March 2017 (Kes Bn),44.8,44.8
NAV Growth,227%,66%
Required NAV growth to hit max upside,50%,25%
Maximum Variable ELN upside realized,15%,10%
Effective return to ELN holders,14.88%,13.95%
