Organ Responsibility,Column
Board of Directors:,"• Approves company policies and procedures;
• Sets the tone and influences the risk management culture within the Company;
• Approves major decisions affecting the company’s investment portfolio and its risk profile
or exposure."
"The Audit and Risk
Committee:","• Advises the Board on the effectiveness of policies and procedures for risk assessment and
risk management;
• Reviews the Company’s approach to risk management and recommends changes or
improvements to key elements of its processes and procedures;
• Provides a statement to the Board annually indicating how the company has complied with
good practice with regard to corporate governance and in relation to effective risk
management."
"Internal Audit
(Out sourced):","• Assists the Audit and Risk Committee in ensuring that internal processes and procedures
are adequate and complied with."
Management:,"• Implements the Board’s risk management policy;
• Ensures that the major risks associated with significant proposals/prospects have been
properly considered and can be appropriately managed within the policy framework set by
the Board;
• Identifies and evaluates key risks that threaten achievement of the company’s objectives;
• Identifies strategies to manage such risks, including identification of appropriate risk
owners, and monitors the satisfactory operation of the risk management strategy;
• Communicates the company risk management policy and risk related information to all
staff, subsidiary organizations and external partners."
