"2020
Ksh’000
118,625
23,786","2019
Ksh’000
127,719
-"
"142,411","127,719"
"30,236,419
15,631,051
-
-
4,126,484
3,150,557
22,586","42,156,542
15,696,348
6,915,641
2,097,549
3,619,410
-
52,578"
"53,167,097","70,538,068"
"628,856
2,911,960","725,503
252,752"
"3,540,816","978,255"
"56,850,324","71,644,042"
"332,721
589,753
23,533,462
22,184,830
798,530","332,721
589,753
37,798,090
13,081,075
798,530"
"47,439,296","52,600,169"
"7,485,523
401,408
275,038
29,108
24,112
1,195,839","16,144,795
535,452
211,675
21,549
-
2,130,402"
"9,411,028","19,043,873"
"56,850,324","71,644,042"
