"2011
Kshs’000",Column,"2011
Kshs’000"
"3,208,611","2,967,876","2,422,116"
"539,188","505,371","539,188"
-,-,"2,221,780"
"230,174","108,849","155,779"
-,"345,000",-
"6,776","48,641","5,903"
"3,984,749","3,975,737","5,344,766"
"719,170","357,154","144,332"
-,-,"283,872"
"35,049
1,987,980","42,650
-","35,049
1,987,980"
"2,742,199","399,804","2,451,233"
"1,242,550","3,575,933","2,893,533"
