Kes. M,PE,AM,RE,HY2015,HY 2014
Activity,,,,,
Realization proceeds,"12 1,867 0",,,"1,879 901",
Investments,"(88) (1,132) (695)",,,"(1,915) (1,656)",
Net investments,76 (735) 695,,,(36) (755),
Return,,,,,
Gross Return,"3,022 1,526 364",,,"1,853
4,912",
Total Return,"2,826 1,487 90",,,"1,195
4,403",
Return on equity,23% 28% 2%,,,"7.0%
19%",
Cost efficiency,,,,"0.80%
0.71%",
Financial Position,,,,Sept’2014,Mar’14
AUM,"17,031 138,998 11,853",,,"24,788
167,882",
Portfolio value,"17,031 6,469 11,853",,,"21,688
34,909",
Net asset value,"15,093 6,115 6,574",,,"17,332
27,339",
