Customer deposits,Amortised cost,Deferred income,Nominal value
"Deferred income tax
liabilities","Undiscounted amount measured at
the tax rates that have been enacted
and are expected to apply to the
period when the liability is settled.","Current income tax
liabilities",Amount expected to be
,,,"recovered from tax
authorities, using tax rates
that have been enacted or
substantively enacted at the
reporting date."
Provisions,"Present value of the best estimate
of the settlement amount",Payables and accruals,Amortised cost
,,Bank overdraft,Amortised cost
