Column,Group,Column,Company,Column
Kes. m,2012,2011,2012,2011
Portfolio Income,"1,273","2,261",764,"1,685"
Portfolio costs,(270),(299),(227),(291)
Finance costs,(230),(155),(50),(155)
Share of Associate Company Profit,594,487,-,-
Profit before tax,"1,367","2,294",487,"1,239"
Profit after tax,"1,190","2,292",446,"1,237"
Other comprehensive income,(708),(589),687,"2,158"
Total Comprehensive income,482,"1,703","1,133","3,395"
