Column,Group,Column,Company,Column
Kes. m,2012,2011,2012,2011
Assets:,,,,
Portfolio value,"11,818","11,181","14,881","14,694"
Cash &cash equivalents,"3,408",(108),"3,408",(108)
Other assets,214,494,886,"1,135"
,"15,440","11,567","19,175","15,721"
Equity & Liabilities:,,,,
Borrowings,"4,149","1,000","4,149","1,000"
Other liabilities,302,526,993,"1,036"
Shareholder funds,"10,989","10,041","14,033","13,685"
,"15,440","11,567","19,175","15,721"
