DOMICILE,SHARES,% OF SHARES,NO. OF SHARES,% OF HOLDERS
Foreign Companies,"29,378,249",4.42,13,0.04
Foreign Individuals,"4,372,161",0.66,189,0.52
Local Companies,"208,085,825",31.27,"1,592",4.37
Local Individuals,"423,605,479",63.67,"34,650",95.09
TOTALS,"665,441,714",100.01,"36,444",100.02
