2024,Column,2023,Column,2024,Column,2023,Column
Ksh’000,,Ksh’000,,Ksh’000,,Ksh’000,
Non Current,Current,Non Current,Current,Non Current,Current,Non Current,Current
"2,947,645",-,"2,916,041",-,"69,195",-,"78,931",-
"50,472,767",-,"43,855,237",-,-,-,-,-
-,"8,114,183",-,"8,871,837",-,-,-,-
"782,875",-,"993,835",-,348,-,405,-
"1,009,312",-,"739,402",-,-,-,-,-
"141,425",-,"60,644",-,"64,344",-,-,-
,,,,,,,-
-,-,-,,"30,786,107",-,"17,752,529",-
-,-,-,,"11,229,808",,"10,344,329",-
"3,009,038",-,"1,006,497",-,-,-,-,-
"4,332,226",-,"4,825,113",-,"4,401,846",-,"4,687,380",-
-,15,-,"3,792",-,-,-,-
-,"584,118",-,"1,889,358",-,"1,013,887",-,"4,104,368"
"134,024","137,156","100,927",-,-,-,-,-
"5,575","2,925","170,876","56,959",-,-,-,-
-,"612,530",-,"877,882",-,-,-,-
-,"30,335",-,"19,103",-,-,-,-
-,"383,938",-,"419,152",-,"160,362",-,"105,808"
-,"1,545,628",-,"1,523,639",-,"36,798",-,"77,341"
-,"493,301",-,"564,008",-,-,-,-
-,"1,732",-,"636,887",-,-,-,-
-,"1,431,113",-,"542,873",-,"319,939",-,"348,250"
-,-,-,"42,665,245",-,-,"4,238,141",-
"62,834,887","13,336,974","54,668,572","58,070,735","46,551,648","1,530,986","37,101,715","4,635,767"
"9,484,074","7,106,468","7,451,884","12,225,896","1,000,589","950,000","1,748,171","500,000"
"6,380,079",-,"5,720,803",-,"3,326,587",-,"2,732,082",-
"78,288","84,447","15,623","58,343","58,735","6,083",-,-
"6,735,765",-,"8,161,179",-,-,-,-,-
-,"6,070,312",-,"4,427,839",-,"1,255,082",-,"539,941"
-,"24,482",-,"8,007",-,-,-,-
-,"443,563",-,"249,158",-,"443,563",-,"249,158"
"22,678,206","13,729,272","21,349,489","16,969,243","4,385,911","2,654,728","4,480,253","1,289,099"
