Column,Column,assets,Column,Column
"253,659","39,382",Receivables,"76,664","148,632"
"7,166","6,697",interest receivable,"7,166","6,697"
"260,825","36,079",Cash at bank,"83,830","155,329"
"521,650","82,158",,"167,660","310,658"
