Standards/Interpretation,Effective Date
Lease liability in a sale and leaseback - Amendments to IFRS 16,01-Jan-24
Amendments to IAS 1 -Classification of Liabilities as Current or Non-current,01-Jan-24
Amendments to IAS 7 and IFRS 7 Supplier Finance Arrangements,01-Jan-24
"IFRS S General Requirements for Disclosure of Sustainability-related Financial
Information and IFRS S2 Climate-related Disclosures",01-Jan-24
Lack of exchangeability (Amendments to IAS 21),01-Jan-25
IFRS 7 and IFRS 9 amendments.,01-May-24
"Classification and measurement requirements for financial instruments
Settlement by electronic payments
Other amendments",01-Jan-26
IFRS 18 Presentation and Disclosure in Financial Statements,01-Jan-27
IFRS 19 Subsidiaries without Public Accountability: Disclosures,01-Jan-27
"Amendments to IFRS 10 and IAS 28-Sale or Contribution of Assets between an
Investor and its Associate or Company","Available for optional
adoption/effective date
deferred indefinitely"
Amendments to IAS 1 -Non-current Liabilities with Covenants,01-Jan-24
