Column,CENTUM 2.0,CENTUM 3.0
Focus,"Developed three business units, with PE
having no specific sector focus",Focus will be placed on 8 priority sectors
Approach,"Portfolio manager looking for growth
capital and consolidation opportunities","Active promoter and developer of high quality
investment grade opportunities"
Ownership,"Focused on control or minority stakes in
key sectors","Interested primarily in majority stakes, where
Centum can exert significant influence. Control
of process of value creation is more important
than control of ownership"
Targets,"Preference to invest in current or near-
off market leaders","Preference to creating and building up market
leaders, not investing in incumbent leaders
where values are high"
Competition,"Open to investing alongside or into
other PE funds","Interested in supplying investment grade assets
to mid- and large- cap PE funds"
Perspective,Long-term value creation,"Disproportionate value creation in development
phase, often coupled with longer term value
creation post-development"
Return,Target annual return of 30%-35%,Target annual return of 35%+
16,,
