KES Mn,Sept 2017,Sept 2016,Change
Beverage Sales,"4,044","3,741",8%
Publishing Sales,535,380,41%
Interest Income,"1,646","2,625",(37%)
Unrealised Gains on Revaluation of Investment Property,"2,033","1,520",34%
Utility Sales,165,-,100%
Dividend Income,86,191,(55%)
