Company,"Country of
incorporation",Classification,"Operation
segment","Percentage
ownership",Principal activity
"Centum Real Estate
Limited",Kenya,"Investment
operations",Real estate,100%,"End-to-end project and development
management services for real estate projects
and also owns developments."
Rasimu Limited,Kenya,"Investment
operations",Real estate,100%,"Investment holding company. At 31 March 2025,
the company’s sole holding was a 3.65% stake in
Two Rivers Development Limited."
"Pearl Marina Estates
Limited",Uganda,"Investment
operations",Real estate,100%,Real estate development in Uganda.
"Two Rivers
Development Limited",Kenya,"Investment
operations",Real estate,58.3%,"Real estate investment entity.The company
holds a joint controlling stake of 50% at Two
Rivers Lifestyle Center Limited and a 100% stake
in Two Rivers Power Company Limited, Two
Rivers Water and Sanitation Company Limited,
Two Rivers Theme Park Limited is a joint venture
between Two Rivers Development Limited and
Funscapes Limited."
Uhuru Heights Limited,Kenya,"Investment
operations",Real estate,100%,"The company is an investment holding
company. At 31 March 2025, the company’s
holdings included a 1.05% stake in Two Rivers
Development Limited and was developing
Cascadia apartments."
"Centum Development
Kenya Limited",Kenya,"Investment
operations",Real estate,100%,"The company is an investment holding
company."
"Centum Exotics
Limited",Mauritius,"Investment
operations","Marketable
securities",100%,"The company is engaged in investment in
marketable securities. At 31 March 2025, the
company held 100% stake in Oleibon Investments
Limited."
"Centum Development
Company Limited",Mauritius,"Investment
operations",Real estate,100%,"The company is an investment holding company
for real estate development. At 31 March 2025,
the company’s sole holding was in Pearl Marina
Estates Limited."
"Vipingo Development
Plc",Kenya,"Investment
operations",Real estate,100%,"Real estate development holding in Vipingo
Estates Limited."
"Vipingo Estates
Limited",Kenya,"Investment
operations",Real estate,100%,Real estate development.
Nabo Capital Limited,Kenya,"Financial
services","Private
equity",100%,"The company is involved in fund management
and transaction advisory services."
"Investpool Holdings
Limited",Mauritius,"Investment
operations","Private
equity",100%,"The company is an investment holding
company. At 31 March 2025, the company held
85% stake in Akiira Geothermal Limited."
"Jafari Credit Limited
(Formerly Centum
Business Solutions
Limited)",Kenya,"Financial
services","Private
equity",100%,"The company is involved in payroll lending to
government employees and previously provided
shared services to Centum Investment Company
Plc and its subsidiaries."
